id,date,postcode,property_type,whether_old_or_new,freehold_or_leasehold,address1,address2,address3,town,local_aut,county,region,type1,type2,postcode_short,price,total_floor_area,number_habitable_rooms,current_energy_rating,co2_emissions_current,co2_emissions_potential,energy_consumption_current,energy_consumption_potential,windows_energy_eff,tenure,district,population,households,latitude,longitude,altitude,london_zone,nearest_station,distance_to_station,water_company,average_income,pricePerSqmtr,area,,,,
{835FFCA9-9A9F-49AD-93C8-6BDF293A3BA7},2012-03-26T00:00:00Z,SW4 0DZ,T,N,F,2,NA,RECTORY GROVE,NA,LONDON,LAMBETH,GREATER LONDON,A,A,SW4,1775000,419,12,D,14,9.7,194,131,Poor,owner-occupied,Lambeth,45,13,51.468193,-0.139768,18,2,Wandsworth Road,0.231191,Thames Water,64600,4236.27685,419.00,,,Skewness,8.797889836
{8B659C9B-67D2-4BA5-B3FF-3D8A9E6D4BF0},2006-07-28T00:00:00Z,TW10 6JR,F,N,L,16,NA,MARLBOROUGH ROAD,RICHMOND,RICHMOND,RICHMOND UPON THAMES,GREATER LONDON,A,A,TW10,950000,408.06,8,E,24,23,347,338,Poor,owner-occupied,Richmond upon Thames,71,31,51.454796,-0.29546,39,4,Richmond,1.01066,Thames Water,74500,2328.089007,408.06,,,Range,17141466
{6DA0844A-4E16-30F2-E053-6B04A8C05F3B},2018-04-12T00:00:00Z,BR2 0LX,D,N,F,58A,NA,SCOTTS LANE,NA,BROMLEY,BROMLEY,GREATER LONDON,A,A,BR2,1800000,403,12,D,13,9.2,178,129,Average,owner-occupied,Bromley,72,31,51.400441,-0.008859,65,4,Shortlands,0.948054,Thames Water,60300,4466.501241,403.00,,,Minimum,1000
{C586D9EC-6E63-4E99-8F1E-809D585435AD},2007-03-27T00:00:00Z,KT2 7JT,D,N,F,13,NA,COOMBE RIDINGS,KINGSTON UPON THAMES,KINGSTON UPON THAMES,KINGSTON UPON THAMES,GREATER LONDON,A,A,KT2,2384000,399,9,C,9,7.5,128,106,Average,owner-occupied,Kingston upon Thames,62,20,51.425509,-0.270371,49,5,Norbiton,1.74106,Thames Water,63800,5974.937343,399.00,,,Maximum,17142466
{BCC7F039-1392-4F01-9906-22908E9EC314},2007-11-02T00:00:00Z,KT2 7HP,D,N,F,16,NA,EDGECOOMBE CLOSE,KINGSTON UPON THAMES,KINGSTON UPON THAMES,KINGSTON UPON THAMES,GREATER LONDON,A,A,KT2,2250000,393,12,D,13,10,173,135,Good,owner-occupied,Kingston upon Thames,23,8,51.418794,-0.265064,55,5,Norbiton,1.49613,Thames Water,63800,5725.19084,393.00,,,Sum,4771538044
{CD586B54-C6B8-4D3F-B9C3-EB4B78F56772},2015-08-14T00:00:00Z,BR6 8NT,D,N,F,PINE COTTAGE,NA,PINE GLADE,NA,ORPINGTON,BROMLEY,GREATER LONDON,A,A,BR6,2800000,391,11,D,18,12,256,172,Average,owner-occupied,Bromley,24,7,51.36535,0.04905,113,6,Orpington,2.91458,Thames Water,67300,7161.12532,391.00,,,Count,10000
{3E0330F0-402C-8D89-E050-A8C062052140},2016-09-05T00:00:00Z,SW19 6HY,D,N,F,71,NA,PRINCES WAY,NA,LONDON,WANDSWORTH,GREATER LONDON,A,A,SW19,3245000,383,NaN,B,4.9,3.9,72,58,Very Good,owner-occupied,Merton,19,5,51.440277,-0.212358,35,3,Southfields,0.648476,Thames Water,61800,8472.584856,383.00,,,,0
{6F204F11-E36F-4346-9149-9CE5BC2853A8},2013-09-02T00:00:00Z,NW8 0QN,S,N,F,46,NA,SPRINGFIELD ROAD,ST JOHNS WOOD,LONDON,WESTMINSTER,GREATER LONDON,A,A,NW8,8250000,382,9,D,15,10,230,151,Very Poor,rental (social),Westminster,84,22,51.538595,-0.180995,42,2,South Hampstead,0.347428,Thames Water,59600,21596.85864,382.00,,,,
{3FDB4229-B26A-496C-8235-A833581C5ACE},2005-10-27T00:00:00Z,TW10 5BP,D,N,F,7,NA,BERWYN ROAD,NA,RICHMOND,RICHMOND UPON THAMES,GREATER LONDON,A,A,TW10,1475000,382,8,D,11.7,8.2,174,120,Good,owner-occupied,Richmond upon Thames,52,15,51.462043,-0.279369,19,3,North Sheen,0.614439,Thames Water,60900,3861.256545,382.00,,,,
{FA870A32-9CF1-4D3B-BA38-82F54B2F3C20},2007-05-15T00:00:00Z,N2 0TY,D,N,F,38,NA,WINNINGTON ROAD,LONDON,LONDON,BARNET,GREATER LONDON,A,A,N2,3950000,380,10,D,17,8,250,118,Very Poor,owner-occupied,Barnet,32,9,51.57921,-0.173832,80,3,East Finchley,1.09928,Affinity Water,71600,10394.73684,380.00,,,,
{F005E7EA-FF89-4F21-8663-02981A2C16D4},2009-04-07T00:00:00Z,N20 9DN,D,N,F,16,NA,FRIERN MOUNT DRIVE,NA,LONDON,BARNET,GREATER LONDON,A,A,N20,720000,379.58,NaN,B,4.4,4.3,73,72,Very Good,NA,Barnet,40,13,51.637981,-0.175966,88,4,Oakleigh Park,0.673707,Affinity Water,58400,1896.833342,379.58,,,,
{3914047A-2F2C-3206-E050-A8C063057647},2016-07-05T00:00:00Z,CR0 5SB,D,N,F,44,NA,LLOYD PARK AVENUE,NA,CROYDON,CROYDON,GREATER LONDON,A,A,CR0,950000,376,5,D,11.6,6.5,175,98,Average,owner-occupied,Croydon,39,12,51.366026,-0.08165,72,3,Lloyd Park,0.204367,Thames Water,58200,2526.595745,376.00,,,,
{624BD00B-F0A0-4F86-BD43-0BFE16155F97},2007-06-15T00:00:00Z,SW11 4PX,T,N,F,21,NA,ALBERT BRIDGE ROAD,LONDON,LONDON,WANDSWORTH,GREATER LONDON,A,A,SW11,2000000,375.89,10,D,17,17,229,225,Average,owner-occupied,Wandsworth,70,30,51.473538,-0.163339,7,2,Queenstown Road,1.11749,Thames Water,50400,5320.705526,375.89,,,,
{AE1B0F0D-B1A1-4505-9E71-260C7DDA845D},2013-11-08T00:00:00Z,SW13 9PP,D,N,F,37,NA,FERRY ROAD,NA,LONDON,RICHMOND UPON THAMES,GREATER LONDON,A,A,SW13,1230000,374,NaN,B,2.4,2.4,40,40,Very Good,owner-occupied,Richmond upon Thames,70,10,51.479753,-0.242066,7,3,Barnes Bridge,1.09865,Thames Water,65600,3288.770053,374.00,,,,
{66CF42D9-3321-414B-8478-FE78604CB393},2014-09-01T00:00:00Z,SW15 6TL,D,N,F,350,NA,UPPER RICHMOND ROAD,NA,LONDON,WANDSWORTH,GREATER LONDON,A,A,SW15,3900000,367,8,D,13,9.3,181,130,Good,owner-occupied,Wandsworth,83,33,51.462908,-0.223423,12,2,Putney,0.513109,Thames Water,71500,10626.703,367.00,,,,
{B3599C31-9390-4B2F-B1CF-C53B6FB9FE1F},2007-05-31T00:00:00Z,DA14 6PF,D,N,F,WILDERS DALE,NA,ALDER ROAD,SIDCUP,SIDCUP,BEXLEY,GREATER LONDON,A,A,DA14,720000,366,11,D,17,9.3,228,126,Poor,owner-occupied,Bexley,6,1,51.429012,0.092264,52,5,Sidcup,0.964002,Thames Water,48100,1967.213115,366.00,,,,
{BEF7EBBF-1B55-7A76-E053-6B04A8C092F7},2021-01-18T00:00:00Z,N1 2NL,S,N,F,4,NA,ALWYNE PLACE,NA,LONDON,ISLINGTON,GREATER LONDON,A,A,N1,4700000,360,9,E,19,9.9,302,155,Very Poor,owner-occupied,Islington,67,32,51.543694,-0.097117,38,2,Essex Road,0.337315,Thames Water,53300,13055.55556,360.00,,,,
{7C2D0700-6673-4963-E053-6B04A8C07B97},2018-11-20T00:00:00Z,W3 7LW,D,N,F,27,NA,SHAA ROAD,NA,LONDON,EALING,GREATER LONDON,A,A,W3,2600000,355,12,D,12,6,184,95,Average,owner-occupied,Ealing,112,31,51.510778,-0.258367,22,2,Acton Central,0.392328,Thames Water,50200,7323.943662,355.00,,,,
{97F67264-52D7-4555-B8B0-966BEF205143},2006-01-31T00:00:00Z,SW3 2EB,T,N,F,39,NA,EGERTON CRESCENT,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A,SW3,5130000,354.3392,11,D,12,11,202,196,Very Poor,owner-occupied,Kensington and Chelsea,28,14,51.494861,-0.168043,12,1,South Kensington,0.416149,Thames Water,50600,14477.65305,354.34,,,,
{3E0330F0-40BE-8D89-E050-A8C062052140},2016-08-25T00:00:00Z,SE21 7EA,D,N,F,128,NA,COURT LANE,NA,LONDON,SOUTHWARK,GREATER LONDON,A,A,SE21,5300000,353,12,F,22,8.4,348,134,Poor,owner-occupied,Southwark,29,9,51.448256,-0.078954,41,2,North Dulwich,0.929502,Thames Water,76600,15014.16431,353.00,,,,
{CD30730D-7FD4-448E-93BC-87D838E134C7},2008-07-11T00:00:00Z,BR1 2PQ,D,N,F,OLD ORCHARD,NA,HILL BROW,BROMLEY,BROMLEY,BROMLEY,GREATER LONDON,A,A,BR1,1525000,351,10,C,8.8,5.5,131,80,Good,owner-occupied,Bromley,91,32,51.408677,0.039296,82,5,Bickley,0.985199,Thames Water,62900,4344.729345,351.00,,,,
{222ABCBA-6FBC-4B9E-B59B-B824C892B1FC},2009-08-11T00:00:00Z,BR3 6RY,D,N,F,81B,NA,ELWILL WAY,NA,BECKENHAM,BROMLEY,GREATER LONDON,A,A,BR3,1200000,350.07,NaN,C,5.5,5.1,107,100,Good,NA,Bromley,77,22,51.396101,-0.006991,63,4,Shortlands,1.23749,Thames Water,64600,3427.885851,350.07,,,,
{D969BDC4-FEE3-43BA-B4B8-8793D913286F},2010-03-16T00:00:00Z,BR3 6RY,D,N,F,81B,NA,ELWILL WAY,NA,BECKENHAM,BROMLEY,GREATER LONDON,A,A,BR3,1250000,350.07,NaN,C,5.5,5.1,107,100,Good,NA,Bromley,77,22,51.396101,-0.006991,63,4,Shortlands,1.23749,Thames Water,64600,3570.714429,350.07,,,,
{68746594-3D5F-4F4B-AE0E-817223C29FA0},2011-07-07T00:00:00Z,W11 3NB,T,N,F,31,NA,LADBROKE SQUARE,NA,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A,W11,8000000,345.73,13,E,21.7,19.6,374,337,Very Poor,owner-occupied,Kensington and Chelsea,35,13,51.510365,-0.201229,31,1,Notting Hill Gate,0.383172,Thames Water,58500,23139.44407,345.73,,,,
{8CAC1318-A2A5-0253-E053-6B04A8C08E51},2019-04-16T00:00:00Z,BR1 3FH,D,N,F,13,NA,MARIAN GARDENS,NA,BROMLEY,BROMLEY,GREATER LONDON,A,A,BR1,1653000,344,NaN,B,4,3,65,49,Very Good,owner-occupied,Bromley,NA,NA,51.411327,0.027565,75,4,Sundridge Park,0.504101,Thames Water,56100,4805.232558,344.00,,,,
{CD300701-BFED-40C4-BD0D-8A6B13216D9B},2012-11-07T00:00:00Z,NW2 2BN,S,N,F,3,NA,HOCROFT ROAD,NA,LONDON,BARNET,GREATER LONDON,A,A,NW2,2695000,331,8,D,11,6.8,166,106,Average,owner-occupied,Barnet,10,4,51.558153,-0.202547,70,3,Cricklewood,0.691567,Thames Water,50100,8141.993958,331.00,,,,
{7BBB4D15-9AC1-430E-9ACB-039717BEAF09},2013-04-15T00:00:00Z,SE24 9QP,S,N,F,78,NA,HERNE HILL,NA,LONDON,LAMBETH,GREATER LONDON,A,A,SE24,1330000,329,13,G,37,11,554,169,Very Poor,owner-occupied,Lambeth,200,90,51.455628,-0.099256,40,2,Herne Hill,0.292412,Thames Water,58500,4042.553191,329.00,,,,
{CF079DE2-40D0-48DF-81C4-3C38A5CE16AD},2013-10-11T00:00:00Z,SW17 7RP,T,N,F,111,NA,ST JAMES'S DRIVE,NA,LONDON,WANDSWORTH,GREATER LONDON,A,A,SW17,4400000,328,11,D,14,8,195,111,Poor,owner-occupied,Wandsworth,116,41,51.444979,-0.165176,32,3,Wandsworth Common,0.182426,Thames Water,73500,13414.63415,328.00,,,,
{B2DB8891-F15F-49F7-AEE0-32753E1258A3},2015-07-31T00:00:00Z,NW1 8LA,T,N,F,149,NA,GLOUCESTER AVENUE,NA,LONDON,CAMDEN,GREATER LONDON,A,A,NW1,3475000,327,10,E,15,11,235,170,Poor,owner-occupied,Camden,119,55,51.541562,-0.154472,38,2,Chalk Farm,0.291977,Thames Water,54500,10626.91131,327.00,,,,
{AC07BBD0-388C-0445-E053-6C04A8C01E31},2020-06-19T00:00:00Z,W11 4RE,T,N,F,26,NA,ST JAMES'S GARDENS,NA,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A,W11,6150000,326,10,D,12,7.1,202,123,Poor,owner-occupied,Kensington and Chelsea,49,18,51.508524,-0.213752,11,2,Shepherds Bush,0.45001,Thames Water,61700,18865.03067,326.00,,,,
{587B9A19-F010-4831-B340-101E6EBD2208},2009-03-27T00:00:00Z,IG8 0NZ,D,N,F,40,NA,KNIGHTON DRIVE,NA,WOODFORD GREEN,REDBRIDGE,GREATER LONDON,A,A,IG8,410000,324,10,C,6.3,5.1,102,81,Good,owner-occupied,Redbridge,76,24,51.617381,0.028372,65,4,Roding Valley,1.0811,Thames Water,59400,1265.432099,324.00,,,,
{BAAA2281-BB7C-4291-A5A9-7764BA138F9E},2005-05-05T00:00:00Z,SW3 5NN,T,N,F,11,NA,OAKLEY STREET,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A,SW3,1530000,321,10,E,14,7.4,250,132,Very Poor,rental (private),Kensington and Chelsea,35,22,51.486583,-0.169498,12,1,South Kensington,0.886644,Thames Water,59900,4766.35514,321.00,,,,
{3012F169-A96B-456F-9716-3C4D0F59941E},2015-06-26T00:00:00Z,BR1 3FH,D,Y,F,11,NA,MARIAN GARDENS,NA,BROMLEY,BROMLEY,GREATER LONDON,A,A,BR1,1510000,318,NaN,B,2.9,2.9,50,50,Very Good,owner-occupied,Bromley,NA,NA,51.411327,0.027565,75,4,Sundridge Park,0.504101,Thames Water,56100,4748.427673,318.00,,,,
{11CB2A5E-4708-40B4-A1A7-6759E430F079},2006-01-18T00:00:00Z,SW12 8RH,S,N,F,18,NA,OLD PARK AVENUE,LONDON,LONDON,WANDSWORTH,GREATER LONDON,A,A,SW12,1085000,318,7,D,9.5,5.7,158,93,Average,owner-occupied,Wandsworth,109,34,51.45178,-0.155537,33,2,Clapham South,0.532415,Thames Water,77300,3411.949686,318.00,,,,
{74BFC7C0-489F-4C28-9E1A-5C36F194FC5C},2013-11-25T00:00:00Z,W3 9SE,S,N,F,23,NA,WEST LODGE AVENUE,NA,LONDON,EALING,GREATER LONDON,A,A,W3,1175000,312,8,C,9.1,5.2,165,93,Poor,owner-occupied,Ealing,60,20,51.507628,-0.283229,31,3,Ealing Common,0.397985,Thames Water,58600,3766.025641,312.00,,,,
{8355F009-5DCE-55C5-E053-6B04A8C0D090},2019-02-01T00:00:00Z,SW17 8RS,T,N,F,73,NA,DRAKEFIELD ROAD,NA,LONDON,WANDSWORTH,GREATER LONDON,A,A,SW17,1740000,311,8,D,11,6.7,204,121,Average,owner-occupied,Wandsworth,164,69,51.434894,-0.153465,31,3,Tooting Bec,0.444501,Thames Water,61600,5594.855305,311.00,,,,
{64342BFE-EDB7-422C-E053-6C04A8C0FB8A},2017-10-23T00:00:00Z,SW9 0FJ,T,Y,F,8,NA,PICKLE MEWS,NA,LONDON,LAMBETH,GREATER LONDON,A,A,SW9,1375000,311,NaN,B,2.6,2.6,47,47,Very Good,owner-occupied,Lambeth,NA,NA,51.479917,-0.11366,8,2,Oval,0.167838,Thames Water,56800,4421.221865,311.00,,,,
{CAA0A520-EB08-44E4-A5B0-379EF9F4F740},2009-10-28T00:00:00Z,SE22 0NE,S,N,F,5,NA,COLYTON ROAD,NA,LONDON,SOUTHWARK,GREATER LONDON,A,A,SE22,1700000,308.03,11,D,13,13,204,200,Good,owner-occupied,Southwark,93,41,51.454409,-0.059941,34,3,Honor Oak Park,1.11383,Thames Water,59400,5518.94296,308.03,,,,
{98C75472-5572-72E9-E053-6B04A8C042F0},2019-09-04T00:00:00Z,KT2 7SX,D,N,F,39,NA,LIVERPOOL ROAD,NA,KINGSTON UPON THAMES,KINGSTON UPON THAMES,GREATER LONDON,A,A,KT2,3300000,308,8,E,19,7.6,316,127,Very Poor,owner-occupied,Kingston upon Thames,58,22,51.420397,-0.284731,28,5,Norbiton,0.894808,Thames Water,59400,10714.28571,308.00,,,,
{7011B109-A569-8ED6-E053-6B04A8C075C1},2018-06-06T00:00:00Z,SW1W 8EZ,T,N,F,16,NA,EATON TERRACE,NA,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A,SW1W,6650000,306,8,D,12,9.2,206,154,Average,owner-occupied,Westminster,37,12,51.494175,-0.155868,15,1,Sloane Square,0.206232,Thames Water,72600,21732.02614,306.00,,,,
{4C4EDFFF-8C2B-1854-E050-A8C063054F34},2017-03-06T00:00:00Z,W11 4RE,T,N,F,22,NA,ST JAMES'S GARDENS,NA,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A,W11,4420000,305,10,D,11,5.7,202,105,Very Poor,owner-occupied,Kensington and Chelsea,49,18,51.508524,-0.213752,11,2,Shepherds Bush,0.45001,Thames Water,61700,14491.80328,305.00,,,,
{5F54B81D-737B-2B45-E053-6B04A8C01FB0},2017-11-08T00:00:00Z,N10 3NE,T,N,F,60,NA,CHURCH CRESCENT,NA,LONDON,HARINGEY,GREATER LONDON,A,A,N10,2590000,304,12,F,21,8.2,391,152,Very Poor,owner-occupied,Haringey,128,60,51.587193,-0.145045,99,3,Highgate,1.06879,Thames Water,65800,8519.736842,304.00,,,,
{011AA83F-7C1A-4EFD-BD11-0FEF6ADE3C29},2010-02-26T00:00:00Z,SW19 4SY,D,N,L,107,NA,RIDGWAY,NA,LONDON,MERTON,GREATER LONDON,A,A,SW19,2575000,303,10,F,26,22,481,419,Very Poor,owner-occupied,Merton,13,3,51.420349,-0.22178,58,3,Dundonald Road,1.04069,Thames Water,68500,8498.349835,303.00,,,,
{3A04CDD8-EDB6-4A8A-BC16-90FF983ABB58},2011-02-28T00:00:00Z,SE3 0UW,D,N,F,11,NA,ELIOT VALE,NA,LONDON,LEWISHAM,GREATER LONDON,A,A,SE3,1432000,300.83,11,F,22,21,438,407,Very Poor,owner-occupied,Greenwich,29,13,51.467911,-0.001301,39,3,Blackheath,0.722811,Thames Water,59500,4760.163548,300.83,,,,
{70CCF075-DF23-43BD-A6B3-526603DADDF8},2005-02-11T00:00:00Z,W8 7QQ,F,Y,L,ACADEMY GARDENS,APARTMENT 64,DUCHESS OF BEDFORDS WALK,LONDON,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A,W8,3135000,300.1,6,D,11,11,253,247,Very Poor,owner-occupied,Kensington and Chelsea,77,42,51.503161,-0.197637,31,1,High Street Kensington,0.499348,Thames Water,70900,10446.51783,300.10,,,,
{3D68F8C2-0417-484D-AB1C-F24D99116613},2005-06-24T00:00:00Z,UB10 9LE,D,N,F,50,NA,SWEETCROFT LANE,NA,UXBRIDGE,HILLINGDON,GREATER LONDON,A,A,UB10,477000,300,9,C,5.3,4,92,69,Good,owner-occupied,Hillingdon,92,25,51.548395,-0.453658,42,6,Hillingdon,0.652094,Affinity Water,65500,1590,300.00,,,,
{84BAEAF2-1D31-40F4-B86F-32D3A187F230},2006-05-26T00:00:00Z,N21 3BT,D,N,F,19,NA,SEAFORTH GARDENS,LONDON,LONDON,ENFIELD,GREATER LONDON,A,A,N21,1125000,300,6,E,15,14,291,281,Good,owner-occupied,Enfield,30,11,51.634156,-0.108694,58,4,Winchmore Hill,0.537219,Thames Water,62600,3750,300.00,,,,
{7B57EB99-A6FD-4021-9D43-93EE514AD7C4},2007-03-23T00:00:00Z,SW17 7HG,S,N,F,8,NA,CROCKERTON ROAD,LONDON,LONDON,WANDSWORTH,GREATER LONDON,A,A,SW17,1320000,298,10,E,15.3,7.7,292,145,Poor,owner-occupied,Wandsworth,126,63,51.438438,-0.16551,40,3,Tooting Bec,0.495387,Thames Water,73500,4429.530201,298.00,,,,
{6DACF2FF-A6CD-4C31-BEF0-F082CC8CDBCF},2014-09-26T00:00:00Z,W8 7AB,T,N,F,1,NA,TOR GARDENS,NA,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A,W8,7400000,298,7,D,13,6.3,224,112,Poor,owner-occupied,Kensington and Chelsea,10,4,51.504462,-0.196908,35,1,Notting Hill Gate,0.550216,Thames Water,70900,24832.21477,298.00,,,,
{8F259990-F1FC-410F-9F82-59250E4F7647},2011-01-12T00:00:00Z,HA8 7PX,D,N,F,54,NA,GREEN LANE,NA,EDGWARE,BARNET,GREATER LONDON,A,A,HA8,1200000,297.35,10,E,20.1,12.5,326,203,Average,owner-occupied,Barnet,32,10,51.616111,-0.279529,61,5,Edgware,0.370623,Affinity Water,51300,4035.648226,297.35,,,,
{98C75472-39C6-72E9-E053-6B04A8C042F0},2019-10-01T00:00:00Z,HA8 7SA,S,N,F,75,NA,LAKE VIEW,NA,EDGWARE,HARROW,GREATER LONDON,B,A,HA8,995000,297,8,C,8.1,4.8,142,83,Average,owner-occupied,Barnet,64,18,51.616787,-0.288921,70,5,Edgware,0.995486,Affinity Water,55100,3350.16835,297.00,,,,
{9D397B8C-845A-4B30-8AEF-940390C5F5E5},2012-02-29T00:00:00Z,TW1 1QT,T,N,F,24,NA,CORSELLIS SQUARE,NA,TWICKENHAM,RICHMOND UPON THAMES,GREATER LONDON,A,A,TW1,1990000,296.03,NaN,B,4.8,4.8,98,98,Good,NA,Richmond upon Thames,62,21,51.463958,-0.322184,11,4,St Margarets,0.974343,Thames Water,79600,6722.29166,296.03,,,,
{C5E667EA-7634-4636-B5A4-C6CE5C7E4F0E},2015-07-22T00:00:00Z,N6 6HN,D,N,F,20,NA,HIGHFIELDS GROVE,NA,LONDON,CAMDEN,GREATER LONDON,A,A,N6,3416000,295,8,C,6.9,5.4,133,102,Good,owner-occupied,Haringey,60,21,51.569436,-0.154916,109,3,Highgate,1.06594,Thames Water,52900,11579.66102,295.00,,,,
{726BF13B-0D7E-0A46-E053-6C04A8C01D0D},2018-06-29T00:00:00Z,NW11 0SA,S,N,F,15,NA,RAVENSCROFT AVENUE,NA,LONDON,BARNET,GREATER LONDON,A,A,NW11,1400000,293,9,E,16,5.2,311,100,Average,owner-occupied,Barnet,35,15,51.576549,-0.199256,65,3,Golders Green,0.570187,Thames Water,65500,4778.156997,293.00,,,,
{F1E6F09A-2AF6-4620-B83B-23F96660EC48},2014-03-06T00:00:00Z,SW7 1JR,T,N,F,25,NA,MONTPELIER SQUARE,NA,LONDON,WESTMINSTER,GREATER LONDON,A,A,SW7,7510000,293,12,D,12,7.1,216,126,Very Poor,owner-occupied,Kensington and Chelsea,26,11,51.500037,-0.16723,20,1,Knightsbridge,0.477182,Thames Water,56300,25631.39932,293.00,,,,
{C9118FA3-EE8C-4C62-A1EE-9A24C69C5F6E},2005-07-27T00:00:00Z,IG8 0TW,D,N,F,35,NA,WOODSIDE ROAD,WOODFORD GREEN,WOODFORD GREEN,REDBRIDGE,GREATER LONDON,A,A,IG8,825000,292,10,E,16,8.2,315,159,Poor,owner-occupied,Redbridge,64,21,51.618146,0.023654,66,4,Roding Valley,1.41179,Thames Water,59400,2825.342466,292.00,,,,
